,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,1.20466,1.40451,1.20466,0.643213,7,5,0,1,1.1661000000000001,0,0,1,0,0.561447,8.076923076923077,14.208333333333334
1,1.993756,2.326307,1.993756,1.56501,12,11,2,3,2.362,0,1,1,1,0.42874600000000007,9.001424501424502,15.709429824561404
2,4.453536,2.820672,4.453536,2.059375,20,12,5,3,5.045999999999999,1,1,1,4,2.394161,9.118596726439863,21.568191311612367
3,5.838956,3.118115,5.838956,2.356818,31,14,5,4,7.283299999999999,1,1,2,4,3.482138,8.825058655941008,21.176143483709275
4,6.641494,3.517699,6.641494,2.756402,37,21,6,4,8.9705,2,1,2,7,3.8850919999999998,9.478228742934625,19.72980367585631
5,8.500604,5.306419,7.739383999999999,4.545122,44,32,8,5,10.3856,3,1,2,10,3.1942619999999997,9.18013314784782,17.28258833453142
6,9.553743999999998,5.450836,8.792524,4.689539,48,39,10,5,12.6225,4,1,2,13,4.102984999999999,9.524770211382787,17.358290001026933
7,10.894793999999997,8.530286,10.133574,7.007699000000001,58,41,12,6,12.9701,5,1,2,16,3.1258749999999993,9.415056287901114,16.293503750898566
8,12.985283999999996,9.176906,12.224063999999998,7.654319000000001,61,43,13,6,15.3618,6,1,2,19,4.569744999999999,9.577827811467657,16.215437677566403
9,14.604353999999997,10.412886,13.843134,8.890299,69,51,16,6,17.0329,7,1,2,22,4.952834999999999,9.781156141432003,16.111135289120107
10,17.969533999999996,10.670681,17.208313999999998,9.148094,74,55,21,6,19.9706,8,1,2,25,8.06022,9.700040936655355,16.179544477712497
11,19.290443999999997,14.803401000000001,17.767923999999997,13.280814,81,69,22,10,20.09,8,1,3,25,4.4871099999999995,9.647877031440249,15.906645929966613
12,22.198293999999997,14.999644000000002,20.675773999999997,13.477057,100,70,25,10,22.9745,9,1,3,28,7.198716999999999,9.561251039055213,17.292947891397752
13,24.408133999999997,16.716274000000002,22.885613999999997,14.432424000000001,108,76,27,12,24.689799999999998,9,2,3,29,8.45319,9.633943634009915,17.27599129598045
14,25.452983999999997,18.199094000000002,23.930463999999997,15.915244000000001,113,83,27,13,25.653,9,2,4,29,8.01522,9.518347391742589,16.918461441465812
15,27.653443999999997,18.519144,25.369623999999998,16.235294,123,87,28,13,28.388399999999997,10,2,4,32,9.134329999999999,9.44130782261582,18.133784874101472
16,29.796313999999995,19.126199,27.512493999999997,16.842349,136,95,29,14,30.908799999999996,10,3,4,33,10.670144999999998,9.283975989912928,17.780104123931512
17,30.865353999999996,19.885222,28.581533999999998,17.601371999999998,146,97,30,14,32.5468,11,3,4,36,10.980161999999998,9.775143990473321,17.538987228157538
18,31.790518999999996,20.316699,29.506698999999998,18.032849,152,100,31,14,34.3666,12,3,4,39,11.473849999999999,9.938294306764199,17.78839725708492
19,33.031088999999994,21.697829,30.747268999999996,19.413978999999998,159,104,31,14,35.631299999999996,12,4,4,40,11.333289999999998,9.79137959142599,17.673977394230672
20,33.803034999999994,22.316575999999998,31.519214999999996,20.032725999999997,166,106,31,15,37.122899999999994,12,4,5,40,11.486488999999999,9.532162757879824,17.271683539820305
21,34.80071099999999,22.948719999999998,32.516890999999994,20.664869999999997,171,110,31,16,38.75529999999999,12,4,6,40,11.852020999999999,9.382581692082779,17.39872822740423
22,36.69990099999999,23.415392999999998,34.41608099999999,21.131542999999997,193,112,32,16,41.22659999999999,13,4,6,43,13.284537999999998,9.247686835905267,17.110489207483646
23,38.62514099999999,24.378559999999997,36.34132099999999,22.094709999999996,199,122,34,17,43.31519999999999,14,4,6,46,14.246610999999998,9.191793634409214,16.832552157171826
24,40.20246099999999,25.896419999999996,37.15738399999999,22.851273999999997,201,132,37,20,44.69689999999999,14,5,6,47,14.306109999999999,9.149836174747131,16.583694515329395
25,42.29197099999999,27.978229999999996,39.24689399999999,24.171783999999995,208,138,38,22,46.061899999999994,14,5,7,47,15.075109999999999,9.186808287684208,16.3703106603442
26,43.03419799999999,28.145797999999996,39.98912099999999,24.339351999999995,211,139,40,22,47.945699999999995,15,5,7,50,15.649769,9.15982773381936,16.21902931313568
27,45.94658799999999,29.208907999999994,42.140210999999994,25.402461999999993,216,140,43,24,50.5481,16,5,7,53,16.737749,9.347301418650488,16.075492551952266
28,47.48473799999999,30.809557999999996,43.678360999999995,27.003111999999994,220,142,43,25,51.8322,16,5,8,53,16.675249,9.262665409140373,16.245303153609083
29,49.847297999999995,31.262039999999995,45.279630999999995,27.455593999999994,234,144,47,25,54.5323,17,5,8,56,17.824037,9.151011344777723,16.408731320093718
30,50.785047999999996,32.49135,46.217380999999996,28.684903999999996,243,151,47,25,55.576499999999996,17,6,8,57,17.532477,9.213588691427121,16.31981011341468
31,54.490717999999994,33.281051999999995,49.161750999999995,29.474605999999994,251,154,50,26,58.434099999999994,18,6,8,60,19.687145,9.171987574231789,16.277524380703806
32,56.094877999999994,33.809129999999996,50.765910999999996,30.002683999999995,259,159,51,27,60.64959999999999,18,7,8,61,20.763227,9.142154617436887,17.14116842303938
33,57.451207999999994,34.390319,52.122240999999995,30.583872999999993,267,164,52,28,62.68289999999999,18,8,8,62,21.538368000000002,9.195518356310226,17.1768087981403
34,59.730827999999995,34.752860999999996,54.401861,30.946414999999995,274,170,52,28,65.45439999999999,18,9,8,63,23.455446000000002,9.097074974701362,17.190390658566105
35,61.740148,34.884001,56.411181,31.077554999999993,288,170,54,28,68.18579999999999,19,9,8,66,25.333626000000002,9.094378447626324,17.175842769902232
