,id,back_decimal,start_date,updated,bet_with_bookie_name,bet_slug,market_slug,bookie_code,best_back_decimal,home_team,away_team
0,bh/football/germany-bundesliga/arminia-bielefeld-v-borussia-m-gladbach/tip/draw,3.5,2022-02-05T15:30:00Z,2022-01-16T12:42:56Z,Draw (Bet At Home),draw,win-market,bh,3.5,arminia-bielefeld,borussia-monchengladbach
1,bh/football/germany-bundesliga/arminia-bielefeld-v-borussia-m-gladbach/tip/arminia-bielefeld,3.15,2022-02-05T15:30:00Z,2022-01-16T12:42:56Z,Arminia Bielefeld (Bet At Home),arminia-bielefeld,win-market,bh,3.15,arminia-bielefeld,borussia-monchengladbach
2,bh/football/germany-bundesliga/arminia-bielefeld-v-borussia-m-gladbach/tip/borussia-m-gladbach,2.1,2022-02-05T15:30:00Z,2022-01-16T12:42:56Z,Borussia Monchengladbach (Bet At Home),borussia-monchengladbach,win-market,bh,2.1,arminia-bielefeld,borussia-monchengladbach
3,bh/football/germany-bundesliga/arminia-bielefeld-v-borussia-m-gladbach/tip/arminia-bielefeld,3.0,2022-02-05T15:30:00Z,2022-01-16T17:10:26Z,Arminia Bielefeld (Bet At Home),arminia-bielefeld,win-market,bh,3.0,arminia-bielefeld,borussia-monchengladbach
4,bh/football/germany-bundesliga/arminia-bielefeld-v-borussia-m-gladbach/tip/borussia-m-gladbach,2.18,2022-02-05T15:30:00Z,2022-01-16T17:10:26Z,Borussia Monchengladbach (Bet At Home),borussia-monchengladbach,win-market,bh,2.18,arminia-bielefeld,borussia-monchengladbach
5,bh/football/germany-bundesliga/arminia-bielefeld-v-borussia-m-gladbach/tip/draw,3.55,2022-02-05T15:30:00Z,2022-01-16T22:46:39Z,Draw (Bet At Home),draw,win-market,bh,3.7,arminia-bielefeld,borussia-monchengladbach
6,bh/football/germany-bundesliga/arminia-bielefeld-v-borussia-m-gladbach/tip/arminia-bielefeld,3.5,2022-02-05T15:30:00Z,2022-01-16T22:46:39Z,Arminia Bielefeld (Bet At Home),arminia-bielefeld,win-market,bh,4.1,arminia-bielefeld,borussia-monchengladbach
7,bh/football/germany-bundesliga/arminia-bielefeld-v-borussia-m-gladbach/tip/borussia-m-gladbach,1.95,2022-02-05T15:30:00Z,2022-01-16T22:46:39Z,Borussia Monchengladbach (Bet At Home),borussia-monchengladbach,win-market,bh,1.9500000000000002,arminia-bielefeld,borussia-monchengladbach
8,vb/football/germany-bundesliga/arminia-bielefeld-v-borussia-monchengladbach/match-result/draw,3.7,2022-02-05T14:30:00Z,2022-01-16T22:46:39Z,Draw (Vbet),draw,win-market,vb,3.7,arminia-bielefeld,borussia-monchengladbach
9,vb/football/germany-bundesliga/arminia-bielefeld-v-borussia-monchengladbach/match-result/borussia-monchengladbach,1.91,2022-02-05T14:30:00Z,2022-01-16T22:46:39Z,Borussia Monchengladbach (Vbet),borussia-monchengladbach,win-market,vb,1.9500000000000002,arminia-bielefeld,borussia-monchengladbach
10,mb/soccer/germany-1-bundesliga/bielefeld-v-monchengladbach/ft-moneyline/draw,3.5,2022-02-05T14:30:00Z,2022-01-16T22:46:39Z,Draw (Mansion Bet),draw,win-market,mb,3.7,arminia-bielefeld,borussia-monchengladbach
11,mb/soccer/germany-1-bundesliga/bielefeld-v-monchengladbach/ft-moneyline/monchengladbach,1.91,2022-02-05T14:30:00Z,2022-01-16T22:46:39Z,Borussia Monchengladbach (Mansion Bet),borussia-monchengladbach,win-market,mb,1.9500000000000002,arminia-bielefeld,borussia-monchengladbach
12,wa/soccer/arminia-bielefeld-borussia-m-gladbach/arminia-bielefeld-v-borussia-m-gladbach/win-draw-win/arminia-bielefeld,3.5,2022-02-05T14:20:00Z,2022-01-16T22:46:39Z,Arminia Bielefeld (Betway),arminia-bielefeld,win-market,wa,4.1,arminia-bielefeld,borussia-monchengladbach
13,nt/soccer/germany-1-bundesliga/bielefeld-v-monchengladbach/winner/bielefeld,3.3,2022-02-05T14:30:00Z,2022-01-16T22:46:39Z,Arminia Bielefeld (Netbet),arminia-bielefeld,win-market,nt,4.1,arminia-bielefeld,borussia-monchengladbach
14,lv/football/germany-bundesliga/dsc-arminia-bielefeld-v-borussia-monchengladbach/3w/dsc-arminia-bielefeld,4.1,2022-02-05T14:30:00Z,2022-01-16T22:46:39Z,Arminia Bielefeld (LVbet),arminia-bielefeld,win-market,lv,4.1,arminia-bielefeld,borussia-monchengladbach
